CN,https://www.ctrip.com/,23.222.102.242,443
CN,http://map.sogou.com/,14.128.1.161,80
CN,https://www.rti.org.tw/,210.61.151.194,443
CN,http://skype.gmw.cn/,16.162.59.31,80
CN,https://tantanapp.com/,106.75.75.236,443
CN,https://www.ishr.ch/,172.67.133.130,443
CN,https://tantanapp.com/,106.75.75.234,443
CN,https://www.huxiu.com/,47.89.251.232,443
CN,http://skype.gmw.cn/,18.166.5.64,80
CN,http://www.kmt.org.tw/,142.250.66.51,80
CN,http://www.kmt.org.tw/,142.250.204.115,80
CN,https://www.dpp.org.tw/,220.128.150.146,443
CN,https://www.ctrip.com/,212.64.62.187,443
CN,http://skype.gmw.cn/,54.251.129.116,80
CN,https://www.tmall.com/,47.246.41.235,443
CN,https://www.tmall.com/,47.246.16.233,443
CN,https://tantanapp.com/,106.75.60.69,443
CN,https://www.tmall.com/,47.246.16.234,443
CN,http://skype.gmw.cn/,54.79.36.20,80
CN,https://www.ctrip.com/,23.198.126.18,443
CN,http://cn.unionpay.com/,59.63.81.170,80
CN,https://www.mac.gov.tw/,223.200.181.148,443
CN,https://coa.immigration.gov.tw/coa-frontend/overseas-foreign-china/,117.56.25.177,443
CN,https://www.ctrip.com/,184.87.226.105,443
CN,http://skype.gmw.cn/,13.214.66.190,80
CN,https://linux.cn/,8.210.86.187,443
CN,https://www.tmall.com/,47.246.41.234,443
CN,http://www.bjiff.com/,120.92.208.109,80
CN,https://bitterwinter.org/,81.31.158.16,443
CN,http://map.sogou.com/,14.225.240.19,80
CN,http://xiazai.sogou.com/,118.191.216.57,80
CN,https://www.csdn.net/,39.106.226.142,443
CN,https://www.yit.com/,47.96.193.9,443
CN,https://china.usembassy-china.org.cn/zh/,104.76.136.168,443
CN,http://moneygram.cn/,208.115.107.134,80
CN,https://www.tmall.com/,58.187.0.233,443
CN,http://www.sef.org.tw/mp1.html,211.20.93.42,80
CN,http://www.ccsctda.com/,210.242.72.238,80
CN,http://map.sogou.com/,163.171.198.89,80
CN,https://www.mac.gov.tw/,223.200.155.63,443
CN,http://chrlawyers.hk/,172.67.203.19,80
CN,http://chrlawyers.hk/,104.21.77.9,80
CN,http://www.seftb.org/mp-1.html,60.251.211.146,80
CN,https://tcnn.org.tw/,139.162.71.40,443
CN,https://china.usembassy-china.org.cn/zh/,23.198.132.49,443
CN,https://www.iqiyi.com/,184.28.12.15,443
CN,http://xiazai.sogou.com/,119.28.109.132,80
CN,https://www.bilibili.com/,164.52.33.182,443
CN,https://www.iqiyi.com/,23.76.68.239,443
CN,https://forum.ubuntu.org.cn/,104.160.18.242,443
CN,https://news.china.com/,61.174.240.218,443
CN,https://www.bilibili.com/,164.52.28.62,443
CN,https://www.qidian.com/,124.156.189.2,443
CN,http://www.rongshuxia.com/,43.129.255.211,80
CN,https://www.tmall.com/,58.187.0.234,443
CN,https://www.bilibili.com/,164.52.39.43,443
CN,https://cppc1989.blogspot.com/,172.217.31.1,443
CN,https://www.bilibili.com/,164.52.39.44,443
CN,https://china.usembassy-china.org.cn/zh/,104.98.203.230,443
CN,https://eastasia.nccu.edu.tw/main.php/,140.119.221.180,443
CN,https://laogairesearch.org/,162.241.222.144,443
CN,https://zh.bitterwinter.org/,13.125.93.66,443
CN,https://www.bilibili.com/,103.151.151.3,443
CN,https://aidsconcern.org.hk/,111.91.237.237,443
CN,https://forum.ubuntu.org.cn/,104.160.18.24,443
CN,https://forum.ubuntu.org.cn/,104.160.18.241,443
CN,https://forum.ubuntu.org.cn/,104.160.18.240,443
CN,https://cppc1989.blogspot.com/,142.251.10.132,443
CN,https://www.iqiyi.com/,23.44.37.76,443
CN,http://www.rongshuxia.com/,43.129.255.239,80
CN,https://www.bilibili.com/,164.52.39.42,443
CN,https://cppc1989.blogspot.com/,142.250.66.129,443
CN,http://www.chain.net.cn/,110.75.189.116,80
CN,https://www.huxiu.com/,47.95.111.46,443
CN,http://www.ccctspm.org/,119.23.81.235,80
CN,https://58.com/,115.159.231.173,443
CN,https://news.china.com/,61.174.240.219,443
CN,https://m.soyoung.com/,107.155.25.121,443
CN,http://bbs.tianya.cn/,124.225.159.113,80
CN,https://m.soyoung.com/,156.246.19.5,443
CN,https://www.douyu.com/,157.185.169.206,443
CN,http://www.jjwxc.net/,116.255.234.243,80
CN,https://beijing.douban.com/,81.70.124.99,443
CN,http://www.dayima.com/,47.99.63.144,80
CN,https://beijing.douban.com/,49.233.242.15,443
CN,https://m.soyoung.com/,103.211.230.30,443
CN,http://ncaids.chinacdc.cn/,39.107.172.94,80
CN,https://m.soyoung.com/,107.155.25.122,443
CN,https://beijing.douban.com/,140.143.177.206,443
CN,https://www.qdaily.com/,161.189.26.189,443
CN,http://www.kaiwind.com/,47.93.94.48,80
CN,https://m.soyoung.com/,156.246.19.6,443
